name,price,origin,year,date,mileage,energy,gearbox,color,seats,doors,length,ratedHorsePower,powerDIN,consumption,brand,model
FORD MUSTANG COUPE,52700.0,Importé,1966.0,15/06/1966,99 200 km,Essence,Manuelle,,,,,27 CV,(DIN) 220 ch,,FORD,MUSTANG COUPE
CITROEN GRAND C4 SPACETOURER,20440.0,France,2021.0,26/01/2022,99 630 km,Diesel,Manuelle,,,,,7 CV,(DIN) 130 ch,,CITROEN,GRAND C4 SPACETOURER
VOLVO XC90 II phase 2,80910.0,France,2020.0,23/03/2020,3 774 km,Hybride essence électrique,Automatique,,,,,17 CV,(DIN) 407 ch -,,VOLVO,XC90 II phase 2
PEUGEOT 208 phase 2,22380.0,France,2020.0,30/11/2020,25 911 km,Essence,Automatique,,,,,5 CV,(DIN) 101 ch,"4,9 L/100 km",PEUGEOT,208 phase 2
HYUNDAI IONIQ phase 2,36200.0,France,2023.0,30/09/2023,20 425 km,Electrique,Automatique,,,,,1 CV,(DIN) 136 ch,,HYUNDAI,IONIQ phase 2
CITROEN C5 X,46620.0,France,2023.0,26/03/2023,23 554 km,Hybride essence électrique,Automatique,,,,,10 CV,(DIN) 224 ch,,CITROEN,C5 X
SMART FORTWO III,19060.0,France,2019.0,23/02/2019,15 345 km,Essence,Automatique,bleu,,,,4 CV,(DIN) 90 ch,"3,6 L/100 km",SMART,FORTWO III
MAZDA MX5 IV ST,31720.0,France,2019.0,22/02/2019,51 284 km,Essence,Manuelle,,,,,10 CV,(DIN) 184 ch - (moteur) 135 kW,"6,9 L/100 km",MAZDA,MX5 IV ST
RENAULT GRAND SCENIC IV,22770.0,France,2020.0,12/05/2020,69 397 km,Diesel,Manuelle,gris,,,,6 CV,(DIN) 120 ch,"5,8 L/100 km",RENAULT,GRAND SCENIC IV
LAND ROVER RANGE ROVER SPORT II phase 2,86080.0,Importé,2021.0,30/05/2021,84 501 km,Hybride essence électrique,Automatique,,,,,17 CV,(DIN) 404 ch - (moteur) 297 kW,,LAND,ROVER RANGE ROVER SPORT II phase 2
OPEL MOKKA II,34080.0,Importé,2023.0,10/10/2023,23 km,Essence,Automatique,bleu metal,,,,7 CV,(DIN) 130 ch - (moteur) 96 kW,"5,9 L/100 km",OPEL,MOKKA II
CITROEN GRAND C4 SPACETOURER,23270.0,France,2020.0,29/08/2020,91 611 km,Essence,Manuelle,gris,,,,7 CV,(DIN) 131 ch,5 L/100 km,CITROEN,GRAND C4 SPACETOURER
FORD RANGER II,27030.0,France,2017.0,23/11/2017,131 534 km,Diesel,,,,,,7 CV,(DIN) 150 ch - (moteur) 110 kW,"7,1 L/100 km",FORD,RANGER II
TOYOTA VERSO phase 2,15790.0,France,2017.0,17/08/2017,112 921 km,Essence,Automatique,,,,,8 CV,(DIN) 147 ch,"5,4 L/100 km",TOYOTA,VERSO phase 2
CITROEN C3 III phase 2,16780.0,France,2023.0,31/01/2024,11 km,Essence,Manuelle,noir,,,,4 CV,(DIN) 83 ch,"5,4 L/100 km",CITROEN,C3 III phase 2
VOLVO XC60 II,51390.0,France,2020.0,26/02/2020,56 669 km,Hybride essence électrique,,,,,,17 CV,(DIN) 303 ch - (moteur) 287 kW,,VOLVO,XC60 II
PEUGEOT 2008 phase 2,23540.0,France,2018.0,23/02/2018,30 779 km,Diesel,Manuelle,,,,,5 CV,(DIN) 99 ch,"3,3 L/100 km",PEUGEOT,2008 phase 2
NISSAN QASHQAI II phase 2,21920.0,France,2019.0,21/08/2019,43 189 km,Essence,,,,,,6 CV,(DIN) 116 ch - (moteur) 85 kW,"5,1 L/100 km",NISSAN,QASHQAI II phase 2
MAZDA MX5 IV ST,40200.0,France,2020.0,17/08/2020,20 048 km,Essence,Manuelle,,,,,10 CV,(DIN) 184 ch,"6,9 L/100 km",MAZDA,MX5 IV ST
PEUGEOT 2008,13890.0,France,2016.0,18/07/2016,126 941 km,Essence,Manuelle,,,,,7 CV,(DIN) 131 ch - (moteur) 94 kW,"4,1 L/100 km",PEUGEOT,2008
RENAULT CAPTUR phase 2,13540.0,France,2020.0,04/04/2020,79 328 km,Diesel,,,,,,5 CV,(DIN) 90 ch,"4,2 L/100 km",RENAULT,CAPTUR phase 2
DS 3 CROSSBACK,27660.0,France,2020.0,24/10/2020,57 688 km,Essence,,,,,,6 CV,(DIN) 131 ch,"4,9 L/100 km",DS,3 CROSSBACK
CUPRA FORMENTOR,43850.0,France,2022.0,15/03/2022,50 624 km,Hybride essence électrique,Automatique,,,,,8 CV,(DIN) 245 ch,,CUPRA,FORMENTOR
CITROEN C4 III,33860.0,Importé,2022.0,04/10/2022,12 km,Diesel,Automatique,bleu metal,,,,7 CV,(DIN) 131 ch - (moteur) 96 kW,"4,6 L/100 km",CITROEN,C4 III
RENAULT KADJAR,33840.0,Importé,2023.0,25/06/2023,25 157 km,Essence,Automatique,bleu,,,,7 CV,(DIN) 140 ch,,RENAULT,KADJAR
AUDI RS Q8,171930.0,France,2022.0,26/12/2022,48 901 km,Essence,Automatique,,,,,53 CV,(DIN) 600 ch,,AUDI,RS Q8
AUDI Q5 II,39970.0,France,2018.0,19/01/2019,79 052 km,Diesel,Automatique,,,,,9 CV,(DIN) 163 ch,5 L/100 km,AUDI,Q5 II
PEUGEOT 308 II phase 2,17060.0,France,2022.0,19/01/2023,159 731 km,Diesel,Manuelle,,,,,7 CV,(DIN) 131 ch,"4,6 L/100 km",PEUGEOT,308 II phase 2
RENAULT CLIO IV phase 2,14150.0,France,2020.0,07/06/2020,78 720 km,Essence,Manuelle,gris foncé,,,,5 CV,(DIN) 90 ch,5 L/100 km,RENAULT,CLIO IV phase 2
PEUGEOT 2008 II,26440.0,France,2022.0,23/08/2022,29 912 km,Essence,Automatique,,,,,7 CV,(DIN) 131 ch,"5,9 L/100 km",PEUGEOT,2008 II
NISSAN QASHQAI 2,26770.0,France,2021.0,08/10/2021,61 985 km,Diesel,,,,,,6 CV,(DIN) 116 ch,,NISSAN,QASHQAI 2
PORSCHE 911 TYPE 992 TARGA,263130.0,Importé,2022.0,02/08/2022,8 424 km,Essence,Automatique,,,,,34 CV,(DIN) 450 ch - (moteur) 331 kW,"10,7 L/100 km",PORSCHE,911 TYPE 992 TARGA
CITROEN C3 III phase 2,16220.0,France,2023.0,07/10/2023,13 348 km,Essence,Manuelle,BLANC,,,,4 CV,(DIN) 83 ch,"5,4 L/100 km",CITROEN,C3 III phase 2
VOLKSWAGEN POLO VI,19580.0,France,2019.0,16/05/2019,66 832 km,Essence,Automatique,,,,,5 CV,(DIN) 95 ch,"4,1 L/100 km",VOLKSWAGEN,POLO VI
PORSCHE MACAN,53930.0,France,2017.0,28/07/2017,43 585 km,Essence,Automatique,gris,,,,15 CV,(DIN) 252 ch,"7,2 L/100 km",PORSCHE,MACAN
PORSCHE 911 TYPE 996,60370.0,France,2002.0,22/05/2002,150 657 km,Essence,,,,,,34 CV,(DIN) 420 ch,"9,6 L/100 km",PORSCHE,911 TYPE 996
FIAT 500 X,19340.0,France,2018.0,08/02/2018,28 165 km,Essence,,,,,,8 CV,(DIN) 140 ch,5 L/100 km,FIAT,500 X
DACIA SANDERO 2,11730.0,Importé,2019.0,28/11/2019,30 205 km,Essence,Manuelle,gris,,,,4 CV,(DIN) 75 ch,,DACIA,SANDERO 2
VOLKSWAGEN T-ROC,23190.0,France,2020.0,06/04/2020,158 175 km,Diesel,Automatique,,,,,8 CV,(DIN) 150 ch,"4,8 L/100 km",VOLKSWAGEN,T-ROC
BMW X2 F39,43980.0,France,2022.0,06/02/2022,32 442 km,Hybride essence électrique,Automatique,,,,,6 CV,(DIN) 220 ch,,BMW,X2 F39
VOLKSWAGEN TIGUAN 2,32750.0,Importé,2019.0,03/03/2019,73 458 km,Essence,Automatique,Gris,,,,10 CV,(DIN) 180 ch,,VOLKSWAGEN,TIGUAN 2
SEAT ARONA,26670.0,Importé,2023.0,13/01/2024,7 218 km,Essence,Automatique,gris,,,,6 CV,(DIN) 110 ch,,SEAT,ARONA
RENAULT CLIO V,17380.0,France,2020.0,15/06/2020,55 583 km,Essence,Manuelle,,,,,5 CV,(DIN) 101 ch,"4,4 L/100 km",RENAULT,CLIO V
MERCEDES CLASSE CLS II,28440.0,France,2015.0,27/04/2015,149 524 km,Diesel,,,,,,15 CV,(DIN) 252 ch,"4,7 L/100 km",MERCEDES,CLASSE CLS II
PEUGEOT 5008 II,33380.0,France,2021.0,10/02/2021,103 552 km,Diesel,Automatique,blanc,,,,6 CV,(DIN) 131 ch,4 L/100 km,PEUGEOT,5008 II
PORSCHE MACAN,54200.0,France,2017.0,18/11/2017,115 147 km,Essence,Automatique,,,,,23 CV,(DIN) 340 ch - (moteur) 250 kW,"7,4 L/100 km",PORSCHE,MACAN
MERCEDES CITAN TOURER,35280.0,Importé,2022.0,30/08/2022,17 013 km,Diesel,Manuelle,jaune,,,,6 CV,(DIN) 110 ch - (moteur) 85 kW,,MERCEDES,CITAN TOURER
LAND ROVER DISCOVERY SPORT,23380.0,France,2016.0,21/04/2016,134 620 km,Diesel,,,,,,8 CV,(DIN) 150 ch - (moteur) 110 kW,"4,6 L/100 km",LAND,ROVER DISCOVERY SPORT
RENAULT MASTER III,30560.0,France,2019.0,11/03/2019,51 636 km,Diesel,Manuelle,,,,,6 CV,(DIN) 150 ch,"9,3 L/100 km",RENAULT,MASTER III
CITROEN C3 III phase 2,17530.0,France,2023.0,06/08/2023,15 316 km,Essence,Manuelle,,,,,4 CV,(DIN) 83 ch,"5,3 L/100 km",CITROEN,C3 III phase 2
VOLVO XC60 phase 2,32540.0,France,2016.0,28/03/2016,115 918 km,Diesel,Automatique,,,,,11 CV,(DIN) 190 ch - (moteur) 140 kW,"5,1 L/100 km",VOLVO,XC60 phase 2
VOLKSWAGEN TAIGO,31840.0,France,2022.0,18/09/2022,26 568 km,Essence,Automatique,,,,,6 CV,(DIN) 110 ch,"5,9 L/100 km",VOLKSWAGEN,TAIGO
AUDI A5 SPORTBACK II,30960.0,France,2019.0,17/09/2019,57 947 km,Essence,,,,,,8 CV,(DIN) 150 ch - (moteur) 110 kW,"4,7 L/100 km",AUDI,A5 SPORTBACK II
CITROEN C3 III phase 2,24170.0,France,2023.0,18/01/2024,3 588 km,Essence,Automatique,GRIS,,,,6 CV,(DIN) 110 ch,"5,9 L/100 km",CITROEN,C3 III phase 2
DS 7 CROSSBACK,30120.0,France,2018.0,02/03/2018,86 422 km,Diesel,,,,,,7 CV,(DIN) 131 ch,"4,2 L/100 km",DS,7 CROSSBACK
PEUGEOT EXPERT III FOURGON,23280.0,France,2018.0,18/09/2018,154 309 km,Diesel,Manuelle,,,,,7 CV,(DIN) 150 ch - (moteur) 110 kW,"4,9 L/100 km",PEUGEOT,EXPERT III FOURGON
CITROEN C5 AIRCROSS,29100.0,France,2021.0,03/09/2021,20 065 km,Diesel,Automatique,,,,,6 CV,(DIN) 131 ch,"4,1 L/100 km",CITROEN,C5 AIRCROSS
SEAT ARONA,26420.0,Importé,2023.0,24/06/2023,6 237 km,Essence,Automatique,gris,,,,6 CV,(DIN) 110 ch,,SEAT,ARONA
MAZDA 3 IV,21820.0,France,2020.0,25/11/2020,62 975 km,Essence,,,,,,6 CV,(DIN) 122 ch,,MAZDA,3 IV
PEUGEOT 308 II phase 2,33860.0,France,2023.0,29/09/2023,3 051 km,Diesel,Automatique,Gris,,,,7 CV,(DIN) 131 ch,"4,6 L/100 km",PEUGEOT,308 II phase 2
RENAULT CLIO IV SOCIETE phase 2,9580.0,France,2019.0,06/11/2019,124 624 km,Diesel,Manuelle,,,,,4 CV,(DIN) 75 ch,,RENAULT,CLIO IV SOCIETE phase 2
CITROEN C3 III,14960.0,France,2020.0,03/12/2020,49 978 km,Essence,Manuelle,,,,,5 CV,(DIN) 110 ch,"4,7 L/100 km",CITROEN,C3 III
VOLVO V90 II phase 2,70780.0,France,2022.0,01/10/2022,56 860 km,Hybride essence électrique,Automatique,,,,,19 CV,(DIN) 303 ch - (moteur) 287 kW,,VOLVO,V90 II phase 2
SEAT LEON 3,27480.0,Importé,2020.0,30/12/2020,76 477 km,Diesel,Automatique,noir,,,,7 CV,(DIN) 150 ch,,SEAT,LEON 3
PEUGEOT 3008 II phase 2,26390.0,Importé,2022.0,14/04/2022,67 840 km,Essence,Automatique,bleu metal,,,,7 CV,(DIN) 130 ch - (moteur) 96 kW,"6,5 L/100 km",PEUGEOT,3008 II phase 2
AUDI A4 IV AVANT phase 2,19080.0,France,2015.0,25/08/2015,131 080 km,Diesel,,,,,,8 CV,(DIN) 150 ch - (moteur) 110 kW,"4,3 L/100 km",AUDI,A4 IV AVANT phase 2
CITROEN C3 AIRCROSS,19190.0,France,2022.0,16/12/2022,61 704 km,Essence,Manuelle,,,,,6 CV,(DIN) 110 ch,"5,9 L/100 km",CITROEN,C3 AIRCROSS
MERCEDES CLASSE A III phase 2,29500.0,France,2019.0,10/01/2020,66 031 km,Diesel,Automatique,,,,,5 CV,(DIN) 109 ch,"3,6 L/100 km",MERCEDES,CLASSE A III phase 2
JEEP COMPASS II,18790.0,France,2019.0,01/04/2019,103 893 km,Diesel,,,,,,6 CV,(DIN) 120 ch,4 L/100 km,JEEP,COMPASS II
AUDI Q3 II,62090.0,France,2022.0,12/03/2022,19 411 km,Hybride essence électrique,Automatique,noir,,,,8 CV,,,AUDI,Q3 II
RENAULT CLIO V,16780.0,France,2021.0,01/02/2022,72 594 km,Diesel,Manuelle,,,,,5 CV,(DIN) 116 ch,"4,2 L/100 km",RENAULT,CLIO V
JEEP COMPASS II phase 2,47980.0,Importé,2024.0,24/04/2024,3 360 km,Hybride essence électrique,Automatique,,,,,7 CV,(DIN) 130 ch - (moteur) 96 kW,,JEEP,COMPASS II phase 2
MINI MINI 3 CLUBMAN,25940.0,Importé,2019.0,03/12/2019,129 477 km,Diesel,Automatique,kaki,,,,10 CV,(DIN) 190 ch - (moteur) 140 kW,,MINI,MINI 3 CLUBMAN
CITROEN C5 X,46620.0,France,2023.0,26/03/2023,23 554 km,Hybride essence électrique,Automatique,,,,,10 CV,(DIN) 224 ch,,CITROEN,C5 X
VOLKSWAGEN GOLF VIII,24400.0,France,2021.0,16/12/2021,63 781 km,Essence,,,,,,7 CV,(DIN) 131 ch,"5,4 L/100 km",VOLKSWAGEN,GOLF VIII
BMW X6 F86 M,76780.0,France,2018.0,19/08/2018,120 000 km,Essence,Automatique,,,,,49 CV,(DIN) 575 ch,"11,1 L/100 km",BMW,X6 F86 M
FIAT 500 L LIVING,16220.0,France,2017.0,05/08/2017,50 624 km,,,,,,,5 CV,(DIN) 105 ch,"4,2 L/100 km",FIAT,500 L LIVING
RENAULT ARKANA,30230.0,France,2022.0,16/10/2022,39 853 km,Essence,Automatique,noir,,,,7 CV,(DIN) 140 ch,"5,8 L/100 km",RENAULT,ARKANA
DACIA JOGGER,27340.0,France,2024.0,30/03/2024,11 km,Essence,Manuelle,brun,,,,6 CV,(DIN) 110 ch,"5,6 L/100 km",DACIA,JOGGER
VOLKSWAGEN GOLF VIII,46390.0,Importé,2022.0,13/09/2022,22 610 km,Diesel,Automatique,noir nacre,,,,11 CV,(DIN) 200 ch - (moteur) 147 kW,"5,2 L/100 km",VOLKSWAGEN,GOLF VIII
RENAULT CAPTUR 2,26180.0,Importé,2024.0,24/05/2024,11 km,Essence,Manuelle,,,,,5 CV,(DIN) 90 ch - (moteur) 67 kW,,RENAULT,CAPTUR 2
PEUGEOT 2008 II,31350.0,France,2021.0,06/01/2022,43 105 km,Essence,Automatique,BLANC,,,,7 CV,(DIN) 131 ch,"6,1 L/100 km",PEUGEOT,2008 II
JEEP GRAND CHEROKEE 4,142680.0,France,2022.0,17/09/2022,18 km,Essence,Automatique,,,,,39 CV,(DIN) 468 ch - (moteur) 344 kW,,JEEP,GRAND CHEROKEE 4
CITROEN C3 II phase 2,12070.0,France,2017.0,05/01/2018,123 649 km,Essence,Manuelle,,,,,5 CV,(DIN) 110 ch - (moteur) 81 kW,"3,8 L/100 km",CITROEN,C3 II phase 2
VOLKSWAGEN TIGUAN II,36580.0,France,2019.0,04/01/2020,33 550 km,Essence,Automatique,,,,,8 CV,(DIN) 150 ch,"6,1 L/100 km",VOLKSWAGEN,TIGUAN II
AUDI A6 (5E GENERATION),58220.0,Importé,2019.0,22/08/2019,44 240 km,Essence,Automatique,gris foncé,,,,22 CV,(DIN) 340 ch,"5,8 L/100 km",AUDI,A6 (5E GENERATION)
MAZDA MX5 IV,31230.0,France,2018.0,26/03/2018,38 744 km,Essence,Manuelle,gris metal,2.0,2.0,,9 CV,(DIN) 160 ch - (moteur) 118 kW,"6,6 L/100 km",MAZDA,MX5 IV
FIAT DUCATO III,21400.0,France,2018.0,10/03/2018,112 991 km,Bicarburation essence GNV,Manuelle,,,,,8 CV,(DIN) 136 ch,"11,2 L/100 km",FIAT,DUCATO III
NISSAN MICRA V phase 2,18210.0,France,2023.0,17/11/2023,9 380 km,Essence,Manuelle,blanc metal,,,,5 CV,(DIN) 93 ch - (moteur) 68 kW,"5,3 L/100 km",NISSAN,MICRA V phase 2
JAGUAR E-PACE,36780.0,France,2020.0,21/02/2020,76 809 km,Diesel,Automatique,noir,,,,9 CV,(DIN) 150 ch,6 L/100 km,JAGUAR,E-PACE
CUPRA FORMENTOR,43850.0,France,2022.0,15/03/2022,50 624 km,Hybride essence électrique,Automatique,,,,,8 CV,(DIN) 245 ch,,CUPRA,FORMENTOR
RENAULT KADJAR,16120.0,France,2019.0,06/02/2019,114 464 km,Diesel,,,,,,5 CV,(DIN) 110 ch,"3,6 L/100 km",RENAULT,KADJAR
MERCEDES CITAN,14620.0,France,2017.0,08/05/2017,63 893 km,Diesel,Manuelle,gris foncé,,,,5 CV,(DIN) 90 ch - (moteur) 66 kW,"4,2 L/100 km",MERCEDES,CITAN
NISSAN QASHQAI II phase 2,20220.0,France,2019.0,18/04/2019,65 052 km,Essence,,,,,,6 CV,(DIN) 116 ch,"5,1 L/100 km",NISSAN,QASHQAI II phase 2
PEUGEOT E-2008 II,30720.0,France,2023.0,20/04/2023,19 506 km,Electrique,Automatique,,,,,4 CV,(DIN) 136 ch,,PEUGEOT,E-2008 II
PORSCHE 911 TYPE 992 CABRIOLET,288030.0,Importé,2023.0,20/04/2023,8 475 km,Essence,Automatique,gris quartz metal,,,,34 CV,(DIN) 480 ch - (moteur) 353 kW,11 L/100 km,PORSCHE,911 TYPE 992 CABRIOLET
SEAT LEON IV ST,35260.0,France,2022.0,23/11/2022,33 721 km,Hybride essence électrique,Automatique,,,,,8 CV,(DIN) 245 ch,,SEAT,LEON IV ST
PORSCHE PANAMERA,43730.0,France,2012.0,29/02/2012,224 988 km,Hybride essence électrique,Automatique,,,,,22 CV,(DIN) 380 ch,,PORSCHE,PANAMERA
AUDI A3 IV SPORTBACK,42510.0,France,2023.0,21/08/2023,7 911 km,Diesel,Automatique,noir,,,,8 CV,(DIN) 150 ch,"4,6 L/100 km",AUDI,A3 IV SPORTBACK
JAGUAR F-TYPE COUPE,67080.0,Importé,2015.0,14/03/2015,23 180 km,Essence,Automatique,rouge metal,2.0,3.0,"4,47 m",23 CV,(DIN) 340 ch - (moteur) 250 kW,"8,4 L/100 km",JAGUAR,F-TYPE COUPE
MERCEDES-AMG GT,105330.0,France,2016.0,20/02/2016,52 170 km,Essence,Automatique,,,,,41 CV,(DIN) 510 ch - (moteur) 375 kW,"9,4 L/100 km",MERCEDES-AMG,GT
RENAULT MEGANE 4 ESTATE,16250.0,Importé,2019.0,16/01/2020,126 495 km,Diesel,Manuelle,,,,,5 CV,(DIN) 110 ch,,RENAULT,MEGANE 4 ESTATE
PEUGEOT 508 II,32490.0,France,2020.0,21/05/2020,46 484 km,Diesel,Automatique,,,,,8 CV,(DIN) 163 ch,"4,5 L/100 km",PEUGEOT,508 II
MINI III CABRIOLET,31390.0,France,2019.0,17/03/2019,23 998 km,Essence,Automatique,gris clair,,,,10 CV,(DIN) 192 ch,5 L/100 km,MINI,III CABRIOLET
PEUGEOT 308 SW,13890.0,Importé,2018.0,16/03/2018,145 110 km,Diesel,Manuelle,Noir,,,,6 CV,(DIN) 120 ch,"3,5 L/100 km",PEUGEOT,308 SW
PEUGEOT 208 II,20890.0,France,2021.0,13/11/2021,51 768 km,Essence,Manuelle,,,,,5 CV,(DIN) 101 ch,"4,2 L/100 km",PEUGEOT,208 II
AUDI Q5 II SPORTBACK phase 2,86780.0,France,2023.0,04/07/2023,12 km,Diesel,Automatique,noir,,,,11 CV,(DIN) 204 ch,"6,4 L/100 km",AUDI,Q5 II SPORTBACK phase 2
BMW X2 F39,43980.0,France,2022.0,06/02/2022,32 442 km,Hybride essence électrique,Automatique,,,,,6 CV,(DIN) 220 ch,,BMW,X2 F39
RENAULT ARKANA,29050.0,Importé,2023.0,17/03/2023,9 734 km,Hybride essence électrique,Automatique,bleu,,,,7 CV,(DIN) 140 ch - (moteur) 103 kW,,RENAULT,ARKANA
MAN TGE,59500.0,Importé,2021.0,10/08/2021,55 316 km,Diesel,Automatique,blanc opaque (verni sans reflet),,,,7 CV,(DIN) 140 ch - (moteur) 103 kW,,MAN,TGE
PEUGEOT 208 phase 2,15510.0,France,2020.0,02/10/2020,27 743 km,Essence,,,,,,4 CV,(DIN) 83 ch,"4,7 L/100 km",PEUGEOT,208 phase 2
PEUGEOT 2008 II,28650.0,France,2024.0,06/02/2024,1 220 km,Essence,Manuelle,,,,,5 CV,(DIN) 101 ch,"5,4 L/100 km",PEUGEOT,2008 II
OPEL MOKKA 2,30480.0,Importé,2022.0,27/06/2022,8 814 km,Essence,Automatique,gris,,5.0,,7 CV,(DIN) 130 ch,,OPEL,MOKKA 2
AUDI TT II ROADSTER,19820.0,Importé,2008.0,12/01/2009,166 160 km,Essence,Automatique,,,,,17 CV,(DIN) 250 ch - (moteur) 184 kW,"9,5 L/100 km",AUDI,TT II ROADSTER
RENAULT GRAND SCENIC IV,22990.0,France,2022.0,15/11/2022,65 753 km,Essence,Automatique,,,,,7 CV,(DIN) 140 ch,"6,9 L/100 km",RENAULT,GRAND SCENIC IV
PORSCHE 911 TYPE 991 TARGA phase 2,189550.0,Importé,2019.0,24/10/2019,31 065 km,Essence,Automatique,,,,,34 CV,(DIN) 450 ch - (moteur) 331 kW,"7,3 L/100 km",PORSCHE,911 TYPE 991 TARGA phase 2
PEUGEOT 308 III,38690.0,France,2024.0,01/02/2024,1 km,Essence,Automatique,bleu,,,,7 CV,(DIN) 130 ch,"5,7 L/100 km",PEUGEOT,308 III
PEUGEOT 5008 II,33810.0,France,2021.0,12/05/2021,87 361 km,Diesel,,,,,,9 CV,(DIN) 177 ch,"6,3 L/100 km",PEUGEOT,5008 II
CITROEN C3 (3E GENERATION),22490.0,Importé,2022.0,29/12/2022,12 475 km,Diesel,Manuelle,bleu,,,,5 CV,(DIN) 102 ch,,CITROEN,C3 (3E GENERATION)
PORSCHE CAYENNE II phase 2,49010.0,France,2016.0,25/08/2016,121 610 km,Essence,Automatique,gris anthracite metal,5.0,5.0,,31 CV,(DIN) 420 ch - (moteur) 309 kW,"7,8 L/100 km",PORSCHE,CAYENNE II phase 2
PORSCHE CAYENNE III,80280.0,France,2018.0,26/04/2018,48 135 km,Essence,,,,,,23 CV,(DIN) 340 ch,"7,9 L/100 km",PORSCHE,CAYENNE III
BMW SERIE 1 F40,30450.0,France,2020.0,15/01/2021,56 489 km,Diesel,Manuelle,gris,,,,6 CV,(DIN) 116 ch,"3,8 L/100 km",BMW,SERIE 1 F40
VOLVO XC40,37600.0,France,2021.0,03/10/2021,108 382 km,Hybride essence électrique,,,,,,10 CV,(DIN) 180 ch,,VOLVO,XC40
AUDI A4 V AVANT,28270.0,France,2018.0,15/07/2018,124 845 km,Essence,Automatique,,,,,8 CV,(DIN) 150 ch,"5,6 L/100 km",AUDI,A4 V AVANT
CITROEN C5 AIRCROSS,29100.0,France,2021.0,03/09/2021,20 065 km,Diesel,,,,,,6 CV,(DIN) 131 ch,"4,1 L/100 km",CITROEN,C5 AIRCROSS
PEUGEOT 5008 II phase 2,35680.0,France,2022.0,07/08/2022,32 007 km,Essence,,,,,,7 CV,(DIN) 131 ch,"6,6 L/100 km",PEUGEOT,5008 II phase 2
PEUGEOT 208 AFFAIRE phase 2,13300.0,France,2019.0,12/02/2019,15 002 km,Essence,Manuelle,blanc,,,,4 CV,(DIN) 83 ch,"4,7 L/100 km",PEUGEOT,208 AFFAIRE phase 2
VOLKSWAGEN PASSAT 8 SW,26200.0,Importé,2020.0,04/12/2020,67 998 km,Diesel,Manuelle,gris clair,,,,7 CV,(DIN) 150 ch,,VOLKSWAGEN,PASSAT 8 SW
BMW SERIE 3 E90,11890.0,France,2008.0,07/05/2008,171 360 km,Essence,Manuelle,bleu metal,,,,8 CV,(DIN) 129 ch - (moteur) 95 kW,"7,3 L/100 km",BMW,SERIE 3 E90
DS 7 CROSSBACK,37840.0,France,2020.0,15/04/2020,53 426 km,Essence,Automatique,,,,,9 CV,(DIN) 181 ch,"5,9 L/100 km",DS,7 CROSSBACK
LAND ROVER RANGE ROVER IV,57480.0,France,2015.0,24/01/2016,180 660 km,Diesel,,,,,,24 CV,(DIN) 340 ch,"7,6 L/100 km",LAND,ROVER RANGE ROVER IV
VOLVO V60 phase 2,24130.0,Importé,2019.0,17/01/2020,95 450 km,Diesel,Automatique,gris anthracite metal,,,,8 CV,(DIN) 150 ch - (moteur) 110 kW,"4,2 L/100 km",VOLVO,V60 phase 2
PEUGEOT 208 II,28540.0,France,2024.0,02/05/2024,1 190 km,Essence,Automatique,,,,,5 CV,(DIN) 101 ch,"5,4 L/100 km",PEUGEOT,208 II
AUDI SQ5 phase 2,54900.0,Importé,2017.0,30/12/2017,79 300 km,Diesel,Automatique,,,,,20 CV,(DIN) 326 ch - (moteur) 240 kW,"6,6 L/100 km",AUDI,SQ5 phase 2
BMW X3 G01,40680.0,France,2020.0,10/10/2020,85 386 km,Diesel,Automatique,BLANC,,,,11 CV,(DIN) 190 ch,"5,5 L/100 km",BMW,X3 G01
MERCEDES GLC phase 2,48540.0,France,2020.0,20/12/2020,68 129 km,Diesel,,,,,,11 CV,(DIN) 195 ch,"5,6 L/100 km",MERCEDES,GLC phase 2
FORD FIESTA V ST phase 2,17110.0,France,2015.0,23/12/2015,123 900 km,Essence,Manuelle,,,,,10 CV,(DIN) 182 ch,"4,8 L/100 km",FORD,FIESTA V ST phase 2
RENAULT CAPTUR II,34080.0,France,2024.0,07/01/2025,11 km,Hybride essence électrique,Automatique,gris,,,,5 CV,(DIN) 145 ch,,RENAULT,CAPTUR II
VOLKSWAGEN TAIGO,27030.0,France,2023.0,01/12/2023,12 608 km,Essence,Manuelle,,,,,6 CV,(DIN) 110 ch,"5,4 L/100 km",VOLKSWAGEN,TAIGO
MINI MINI III 3P,17060.0,Importé,2019.0,03/11/2019,81 918 km,Diesel,Manuelle,noir metal,,,,5 CV,(DIN) 95 ch - (moteur) 70 kW,"3,8 L/100 km",MINI,MINI III 3P
PEUGEOT 3008 II,22570.0,France,2019.0,28/11/2019,109 696 km,Essence,Automatique,noir,,,,9 CV,(DIN) 165 ch,"4,8 L/100 km",PEUGEOT,3008 II
CITROEN C5 X,47060.0,France,2023.0,15/03/2023,23 776 km,Hybride essence électrique,Automatique,,,,,10 CV,(DIN) 224 ch,,CITROEN,C5 X
AUDI RS3 II SPORTBACK phase 2,71190.0,Importé,2020.0,06/12/2020,37 290 km,Essence,,,,,,29 CV,(DIN) 400 ch - (moteur) 294 kW,"9,5 L/100 km",AUDI,RS3 II SPORTBACK phase 2
PEUGEOT 5008 II,26700.0,France,2018.0,13/04/2018,134 942 km,Diesel,Automatique,gris metal,,,,10 CV,(DIN) 181 ch - (moteur) 133 kW,"4,4 L/100 km",PEUGEOT,5008 II
