name,price,year,date,mileage,energy,gearbox,color,doors,ratedHorsePower,powerDIN,brand,model
RENAULT CAPTUR II,23600,2021,15/09/2021,27 792 km,Essence,Automatique,gris cassiopée / toit noir,5.0,7 CV,(DIN) 131 ch,RENAULT,CAPTUR II
LEXUS NX phase 2,41320,2021,16/07/2021,30 520 km,Hybride essence électrique,Automatique,noir,5.0,8 CV,(DIN) 155 ch,LEXUS,NX phase 2
DODGE RAM,101540,2023,28/01/2024,11 km,Bicarburation essence GPL,Automatique,noir,4.0,32 CV,(DIN) 390 ch,DODGE,RAM
TOYOTA C-HR phase 2,33910,2021,27/04/2021,22 049 km,Hybride essence électrique,Automatique,blanc nacre,5.0,7 CV,(DIN) 152 ch - (moteur) 135 kW,TOYOTA,C-HR phase 2
VOLVO S60 III,49390,2022,22/10/2022,39 325 km,Hybride essence électrique,Automatique,noir,4.0,20 CV,(DIN) 405 ch,VOLVO,S60 III
JEEP RENEGADE,24640,2023,23/09/2023,22 904 km,Essence,Manuelle,gris,5.0,6 CV,(DIN) 120 ch,JEEP,RENEGADE
PEUGEOT 308 III,50380,2024,18/11/2024,5 040 km,Hybride essence électrique,Automatique,Teinte M. Vert Olivine,4.0,10 CV,(DIN) 224 ch,PEUGEOT,308 III
NISSAN X-TRAIL III phase 2,28160,2021,01/07/2021,31 684 km,Diesel,Manuelle,marron metal,5.0,8 CV,(DIN) 150 ch - (moteur) 110 kW,NISSAN,X-TRAIL III phase 2
FIAT 500 II phase 2,13780,2019,03/01/2020,40 078 km,Essence,Manuelle,BLEU CLAIR,3.0,4 CV,(DIN) 69 ch,FIAT,500 II phase 2
PEUGEOT 308 III SW,41280,2022,18/01/2023,11 068 km,Diesel,Automatique,NOIR PERLA NERA,5.0,7 CV,(DIN) 131 ch,PEUGEOT,308 III SW
PORSCHE 911 TYPE 992 TARGA,305640,2023,04/11/2023,10 080 km,Essence,Automatique,ivoire verni,2.0,34 CV,(DIN) 480 ch - (moteur) 353 kW,PORSCHE,911 TYPE 992 TARGA
RENAULT CLIO IV phase 2,14560,2020,12/12/2020,71 966 km,Essence,Manuelle,gris,5.0,5 CV,(DIN) 90 ch,RENAULT,CLIO IV phase 2
DACIA SANDERO II STEPWAY phase 2,13620,2019,15/11/2019,52 135 km,Diesel,Manuelle,bleu azur,5.0,4 CV,(DIN) 90 ch,DACIA,SANDERO II STEPWAY phase 2
VOLKSWAGEN GOLF VIII,37360,2021,11/09/2021,55 688 km,Diesel,Automatique,Noir,5.0,8 CV,(DIN) 150 ch,VOLKSWAGEN,GOLF VIII
TOYOTA COROLLA XII TOURING SPORTS,28600,2021,11/09/2021,83 847 km,Hybride essence électrique,Automatique,gris,5.0,8 CV,(DIN) 152 ch,TOYOTA,COROLLA XII TOURING SPORTS
HYUNDAI TUCSON III phase 2,21180,2020,20/05/2020,116 905 km,Diesel,Automatique,gris,5.0,7 CV,(DIN) 136 ch,HYUNDAI,TUCSON III phase 2
RENAULT CAPTUR II,25980,2022,02/06/2022,50 301 km,Diesel,Manuelle,blanc nacré brillant / toit noir étoilé,5.0,6 CV,(DIN) 116 ch,RENAULT,CAPTUR II
CITROEN C3 III phase 2,18850,2022,09/03/2022,49 668 km,Essence,Manuelle,blanc,5.0,4 CV,(DIN) 83 ch,CITROEN,C3 III phase 2
OPEL ASTRA III,9670,2009,24/11/2009,58 080 km,Essence,Manuelle,gris metal,5.0,5 CV,(DIN) 90 ch - (moteur) 66 kW,OPEL,ASTRA III
BMW SERIE 6 F13,28490,2012,26/06/2012,151 690 km,Diesel,Automatique,Gris,2.0,20 CV,(DIN) 313 ch,BMW,SERIE 6 F13
HUMMER H3,34380,2010,12/11/2010,128 800 km,Essence,Automatique,noir verni,,23 CV,(DIN) 305 ch,HUMMER,H3
RENAULT ZOE phase 2,22000,2022,27/11/2022,34 188 km,Electrique,Automatique,VIOLET BLUEBERRY,5.0,4 CV,(DIN) 110 ch,RENAULT,ZOE phase 2
PEUGEOT 308 II SW,16400,2017,08/02/2017,88 564 km,Essence,Automatique,noir,,6 CV,(DIN) 131 ch,PEUGEOT,308 II SW
NISSAN PRIMASTAR,35180,2024,10/12/2024,59 km,Diesel,Manuelle,blanc,4.0,7 CV,(DIN) 131 ch,NISSAN,PRIMASTAR
HYUNDAI I20 III,24580,2022,18/12/2022,41 204 km,Essence,Manuelle,blanc,5.0,5 CV,(DIN) 100 ch,HYUNDAI,I20 III
MINI MINI 3 JCW 3P,51460,2024,22/07/2024,12 km,Essence,Automatique,noir,3.0,13 CV,(DIN) 231 ch,MINI,MINI 3 JCW 3P
RENAULT ESPACE V,27930,2020,01/02/2020,84 725 km,Diesel,Automatique,gris titanium,5.0,9 CV,(DIN) 161 ch,RENAULT,ESPACE V
PEUGEOT 5008 II phase 2,32470,2022,31/07/2022,100 800 km,Diesel,Automatique,gris metal,5.0,7 CV,(DIN) 131 ch - (moteur) 96 kW,PEUGEOT,5008 II phase 2
ASTON MARTIN VANTAGE II,170990,2020,06/02/2020,27 930 km,Essence,Automatique,noir metal,2.0,40 CV,(DIN) 510 ch - (moteur) 375 kW,ASTON,MARTIN VANTAGE II
RENAULT KADJAR,18510,2018,22/12/2018,80 115 km,Essence,Automatique,gris foncé metal,5.0,7 CV,(DIN) 131 ch - (moteur) 96 kW,RENAULT,KADJAR
AUDI A3 III SPORTBACK phase 2,26630,2020,15/10/2020,66 370 km,Essence,Automatique,gris,5.0,8 CV,(DIN) 150 ch,AUDI,A3 III SPORTBACK phase 2
VOLVO XC40,37000,2021,14/12/2021,114 724 km,Diesel,Automatique,gris metal,5.0,10 CV,(DIN) 190 ch - (moteur) 140 kW,VOLVO,XC40
VOLKSWAGEN TIGUAN II phase 2,43110,2023,04/07/2023,31 390 km,Diesel,Automatique,gris,5.0,8 CV,(DIN) 150 ch,VOLKSWAGEN,TIGUAN II phase 2
OPEL CORSA VI,17960,2022,04/03/2022,47 452 km,Essence,Manuelle,BLEU,5.0,5 CV,(DIN) 101 ch,OPEL,CORSA VI
OPEL MOKKA,11230,2014,04/02/2014,106 988 km,Essence,Manuelle,Gris Mineral/Ice Silver,5.0,7 CV,(DIN) 116 ch,OPEL,MOKKA
PEUGEOT 308 III,35050,2024,20/11/2024,1 km,Essence,Automatique,gris,5.0,7 CV,(DIN) 130 ch,PEUGEOT,308 III
MERCEDES-AMG GT phase 2,545000,2022,01/01/2023,2 398 km,Essence,Automatique,orange,3.0,74 CV,(DIN) 730 ch - (moteur) 537 kW,MERCEDES-AMG,GT phase 2
BMW SERIE 8 G14 CABRIOLET,90730,2020,08/11/2020,61 985 km,Diesel,Automatique,Noir,2.0,20 CV,(DIN) 320 ch,BMW,SERIE 8 G14 CABRIOLET
CITROEN C5 AIRCROSS,24360,2021,20/07/2021,129 366 km,Diesel,Manuelle,BLANC BANQUISE,5.0,7 CV,(DIN) 131 ch,CITROEN,C5 AIRCROSS
FORD TRANSIT CUSTOM phase 2,25830,2020,02/02/2020,85 596 km,Diesel,Manuelle,blanc,4.0,7 CV,(DIN) 131 ch,FORD,TRANSIT CUSTOM phase 2
PEUGEOT 308 II SW phase 2,21220,2021,14/05/2021,79 000 km,Essence,Manuelle,Noir,5.0,6 CV,(DIN) 110 ch,PEUGEOT,308 II SW phase 2
MERCEDES CLASSE C III,15640,2009,19/11/2009,113 680 km,Essence,Automatique,noir metal,4.0,11 CV,(DIN) 184 ch - (moteur) 135 kW,MERCEDES,CLASSE C III
OPEL ASTRA V SPORTS TOURER,13790,2018,21/03/2018,151 849 km,Diesel,Automatique,noir,5.0,7 CV,(DIN) 136 ch,OPEL,ASTRA V SPORTS TOURER
PEUGEOT 3008 II phase 2,42460,2023,09/05/2023,10 796 km,Diesel,Automatique,gris foncé,5.0,7 CV,(DIN) 131 ch,PEUGEOT,3008 II phase 2
FORD ESCORT 5 RS COSWORTH,57310,1997,08/10/1996,124 020 km,Essence,Manuelle,gris anthracite metal,3.0,9 CV,(DIN) 220 ch - (moteur) 167 kW,FORD,ESCORT 5 RS COSWORTH
AUDI Q5 II phase 2,60400,2023,13/06/2023,16 879 km,Diesel,Automatique,Blanc,5.0,9 CV,(DIN) 163 ch,AUDI,Q5 II phase 2
PEUGEOT 308 II phase 2,17910,2021,13/03/2021,33 814 km,Essence,Manuelle,blanc,5.0,5 CV,(DIN) 110 ch,PEUGEOT,308 II phase 2
PEUGEOT 308 II phase 2,34230,2023,17/05/2023,22 491 km,Diesel,Automatique,bleu,5.0,7 CV,(DIN) 131 ch,PEUGEOT,308 II phase 2
CITROEN C5 AIRCROSS phase 2,36800,2024,29/12/2024,1 km,Diesel,Manuelle,blanc,5.0,7 CV,(DIN) 131 ch,CITROEN,C5 AIRCROSS phase 2
OPEL CROSSLAND X,17090,2019,21/04/2019,68 769 km,Essence,Manuelle,NOIR PROFOND,,6 CV,(DIN) 110 ch,OPEL,CROSSLAND X
CITROEN C3 III phase 2,16080,2021,18/11/2021,37 740 km,Essence,Manuelle,BLANC,5.0,4 CV,(DIN) 83 ch,CITROEN,C3 III phase 2
CITROEN JUMPER II phase 2,23050,2018,30/10/2018,147 580 km,Diesel,Manuelle,blanc verni,4.0,7 CV,(DIN) 131 ch - (moteur) 96 kW,CITROEN,JUMPER II phase 2
JEEP RENEGADE,20770,2019,20/05/2019,100 827 km,Diesel,Manuelle,blanc,5.0,5 CV,(DIN) 95 ch,JEEP,RENEGADE
RENAULT CLIO IV phase 2,14600,2020,04/01/2021,62 485 km,Essence,Manuelle,gris,5.0,5 CV,(DIN) 90 ch,RENAULT,CLIO IV phase 2
TOYOTA YARIS CROSS,35240,2024,19/07/2024,61 km,Hybride essence électrique,Automatique,gris,5.0,5 CV,(DIN) 116 ch,TOYOTA,YARIS CROSS
JEEP CHEROKEE IV,23210,2018,07/07/2018,96 301 km,Diesel,Automatique,noir,5.0,11 CV,(DIN) 200 ch,JEEP,CHEROKEE IV
PEUGEOT E-2008 II,29900,2021,06/04/2021,12 801 km,Electrique,Automatique,ROUGE ELIXIR,5.0,4 CV,(DIN) 78 ch,PEUGEOT,E-2008 II
FORD FOCUS IV,15370,2021,26/03/2021,86 480 km,Essence,Manuelle,gris,5.0,6 CV,(DIN) 125 ch,FORD,FOCUS IV
CITROEN GRAND C4 SPACETOURER,21980,2020,23/12/2020,77 117 km,Essence,Automatique,GRIS FONCE,5.0,7 CV,(DIN) 131 ch,CITROEN,GRAND C4 SPACETOURER
RENAULT KOLEOS II,23420,2020,16/06/2020,103 651 km,Diesel,Automatique,blanc,5.0,10 CV,(DIN) 177 ch,RENAULT,KOLEOS II
DS 7 CROSSBACK,31840,2018,16/06/2018,82 909 km,Diesel,Manuelle,ORANGE MANGO,5.0,7 CV,(DIN) 131 ch,DS,7 CROSSBACK
PEUGEOT 208 phase 2,15060,2019,10/08/2019,53 492 km,Diesel,Manuelle,blanc,5.0,4 CV,(DIN) 99 ch,PEUGEOT,208 phase 2
JAGUAR F-TYPE,72430,2018,18/07/2018,40 250 km,Essence,Automatique,bleu,2.0,27 CV,(DIN) 381 ch,JAGUAR,F-TYPE
AUDI Q5 II phase 2,56480,2021,29/06/2021,62 048 km,Hybride essence électrique,Automatique,gris,5.0,15 CV,(DIN) 252 ch,AUDI,Q5 II phase 2
PEUGEOT 108,16630,2018,13/12/2018,40 132 km,Essence,Manuelle,gris clair,5.0,4 CV,(DIN) 82 ch,PEUGEOT,108
AUDI RS Q8,193620,2022,03/06/2022,55 069 km,Essence,Automatique,noir,5.0,53 CV,(DIN) 600 ch,AUDI,RS Q8
CITROEN C3 III phase 2,17740,2022,10/08/2022,19 937 km,Essence,Manuelle,blanc,5.0,4 CV,(DIN) 83 ch,CITROEN,C3 III phase 2
RENAULT CAPTUR II,23600,2021,15/09/2021,27 792 km,Essence,Automatique,gris cassiopée / toit noir,5.0,7 CV,(DIN) 131 ch,RENAULT,CAPTUR II
OPEL MOKKA X,17960,2018,02/11/2018,90 374 km,Diesel,Manuelle,GRIS ARGENT,5.0,5 CV,(DIN) 110 ch,OPEL,MOKKA X
FERRARI PORTOFINO,266680,2021,16/01/2022,18 385 km,Essence,Automatique,rouge,,52 CV,(DIN) 600 ch,FERRARI,PORTOFINO
BMW SERIE 3 E93 CABRIOLET M3,44920,2011,12/04/2011,121 445 km,Essence,Manuelle,noir,2.0,33 CV,(DIN) 420 ch,BMW,SERIE 3 E93 CABRIOLET M3
PEUGEOT 208 II,20110,2022,06/03/2022,60 299 km,Essence,Manuelle,GRIS PLATINIUM,5.0,5 CV,(DIN) 101 ch,PEUGEOT,208 II
PEUGEOT E-208 II,23070,2021,19/01/2022,37 135 km,Electrique,Automatique,Jaune,5.0,4 CV,(DIN) 78 ch,PEUGEOT,E-208 II
AUDI A3 IV SPORTBACK,38760,2023,13/05/2023,37 km,Hybride essence électrique,Automatique,gris foncé metal,5.0,8 CV,(DIN) 150 ch - (moteur) 150 kW,AUDI,A3 IV SPORTBACK
PEUGEOT 308 III,36770,2024,30/01/2025,1 km,Essence,Automatique,blanc,5.0,7 CV,(DIN) 130 ch,PEUGEOT,308 III
CITROEN C5 AIRCROSS,31300,2023,19/10/2023,20 715 km,Essence,Manuelle,BLANC,5.0,7 CV,(DIN) 131 ch,CITROEN,C5 AIRCROSS
PORSCHE MACAN,53080,2017,02/11/2017,81 302 km,Essence,Automatique,gris,5.0,15 CV,(DIN) 252 ch,PORSCHE,MACAN
PEUGEOT 308 III SW,43300,2024,19/02/2024,2 689 km,Hybride essence électrique,Automatique,GRIS ARTENSE,5.0,8 CV,(DIN) 150 ch,PEUGEOT,308 III SW
RENAULT CAPTUR 2,30030,2024,21/01/2025,12 km,Essence,Manuelle,gris,5.0,5 CV,(DIN) 90 ch - (moteur) 67 kW,RENAULT,CAPTUR 2
BMW SERIE 5 G30,45130,2022,29/01/2023,62 990 km,Hybride diesel électrique,Automatique,gris anthracite metal,4.0,10 CV,(DIN) 190 ch - (moteur) 140 kW,BMW,SERIE 5 G30
PEUGEOT 308 III,54020,2024,01/12/2024,4 004 km,Hybride essence électrique,Automatique,vert,4.0,10 CV,(DIN) 180 ch,PEUGEOT,308 III
AUDI S3 III SPORTBACK phase 2,38720,2020,28/04/2020,60 080 km,Essence,Automatique,gris,5.0,19 CV,(DIN) 300 ch,AUDI,S3 III SPORTBACK phase 2
MERCEDES CLASSE C IV,23520,2016,26/03/2016,150 329 km,Essence,Automatique,gris foncé metal,4.0,11 CV,(DIN) 211 ch - (moteur) 155 kW,MERCEDES,CLASSE C IV
MERCEDES SL,39540,1998,13/08/1997,123 170 km,Essence,Automatique,bleu metal,,28 CV,(DIN) 319 ch - (moteur) 235 kW,MERCEDES,SL
RENAULT CAPTUR II,25980,2022,02/06/2022,50 301 km,Diesel,Manuelle,blanc nacré brillant / toit noir étoilé,5.0,6 CV,(DIN) 116 ch,RENAULT,CAPTUR II
PORSCHE MACAN,45180,2015,09/06/2015,151 759 km,Diesel,Automatique,gris,5.0,16 CV,(DIN) 259 ch,PORSCHE,MACAN
PEUGEOT 308 II phase 2,22120,2019,29/12/2019,44 889 km,Essence,Automatique,GRIS ACIER,5.0,7 CV,(DIN) 131 ch,PEUGEOT,308 II phase 2
RENAULT CAPTUR 2,27610,2024,29/02/2024,11 km,Essence,Manuelle,noir,5.0,5 CV,(DIN) 90 ch - (moteur) 67 kW,RENAULT,CAPTUR 2
VOLKSWAGEN TIGUAN 2,26110,2017,01/07/2017,127 364 km,Diesel,Manuelle,gris,5.0,8 CV,(DIN) 150 ch,VOLKSWAGEN,TIGUAN 2
CITROEN DS3 CABRIO,11200,2014,02/02/2014,95 984 km,Essence,Manuelle,gris foncé metal,3.0,7 CV,(DIN) 120 ch - (moteur) 88 kW,CITROEN,DS3 CABRIO
PEUGEOT 5008 II,25870,2019,26/11/2019,103 813 km,Diesel,Manuelle,blanc,5.0,6 CV,(DIN) 131 ch,PEUGEOT,5008 II
RENAULT CLIO V,19060,2022,02/01/2023,32 866 km,Bicarburation essence GPL,Manuelle,gris clair,5.0,5 CV,(DIN) 101 ch,RENAULT,CLIO V
VOLKSWAGEN GOLF VII R,35040,2017,12/03/2017,118 818 km,Essence,Automatique,blanc,5.0,19 CV,(DIN) 300 ch,VOLKSWAGEN,GOLF VII R
PEUGEOT 208 II,23730,2022,15/05/2022,61 893 km,Essence,Manuelle,noir,5.0,5 CV,(DIN) 100 ch,PEUGEOT,208 II
AUDI A4 (5E GENERATION) AVANT,36020,2019,12/06/2019,56 584 km,Diesel,Automatique,gris foncé,5.0,10 CV,(DIN) 190 ch,AUDI,A4 (5E GENERATION) AVANT
DS 3 (2E GENERATION),34490,2023,10/11/2023,10 165 km,Essence,Manuelle,noir,5.0,5 CV,(DIN) 100 ch,DS,3 (2E GENERATION)
VOLKSWAGEN GOLF VII phase 2,25440,2019,03/01/2020,81 477 km,Diesel,Automatique,Gris,5.0,8 CV,(DIN) 150 ch,VOLKSWAGEN,GOLF VII phase 2
LAND ROVER RANGE ROVER VELAR,59380,2021,11/06/2021,44 726 km,Diesel,Automatique,noir metal,5.0,10 CV,(DIN) 180 ch - (moteur) 132 kW,LAND,ROVER RANGE ROVER VELAR
AUDI Q3 (2E GENERATION),51710,2022,18/11/2022,7 375 km,Hybride essence électrique,Automatique,Mythosschwarz Metallic,5.0,8 CV,(DIN) 150 ch - (moteur) 180 kW,AUDI,Q3 (2E GENERATION)
KIA NIRO phase 2,26960,2021,08/05/2021,47 434 km,Hybride essence électrique,Automatique,gris,5.0,5 CV,(DIN) 141 ch,KIA,NIRO phase 2
RENAULT TRAFIC III,20970,2020,22/05/2020,98 038 km,Diesel,Manuelle,blanc,4.0,5 CV,(DIN) 125 ch,RENAULT,TRAFIC III
OPEL CORSA VI,17960,2022,04/03/2022,47 452 km,Essence,Manuelle,BLEU,5.0,5 CV,(DIN) 101 ch,OPEL,CORSA VI
PORSCHE 911 TYPE 992,256170,2023,11/08/2023,10 890 km,Essence,Automatique,Noir,2.0,37 CV,(DIN) 480 ch,PORSCHE,911 TYPE 992
CITROEN C3 III phase 2,20330,2023,03/05/2023,11 km,Essence,Manuelle,sable,5.0,4 CV,(DIN) 83 ch,CITROEN,C3 III phase 2
RENAULT CLIO 5,18150,2022,05/12/2022,10 900 km,Essence,Manuelle,gris,5.0,5 CV,(DIN) 90 ch,RENAULT,CLIO 5
AUDI A6 V AVANT,70550,2021,11/03/2021,47 120 km,Hybride essence électrique,Automatique,gris foncé verni,,15 CV,(DIN) 252 ch - (moteur) 195 kW,AUDI,A6 V AVANT
FIAT 500 L phase 2,15450,2020,15/09/2020,38 784 km,Essence,Manuelle,autre,5.0,5 CV,(DIN) 95 ch,FIAT,500 L phase 2
DACIA DUSTER II,23740,2023,25/12/2023,9 320 km,Diesel,Manuelle,gris foncé verni,5.0,6 CV,(DIN) 115 ch - (moteur) 85 kW,DACIA,DUSTER II
DS 7 CROSSBACK,44780,2020,06/01/2021,74 016 km,Essence,Automatique,blanc,5.0,13 CV,(DIN) 224 ch,DS,7 CROSSBACK
AUDI Q2,32360,2020,17/02/2020,55 305 km,Diesel,Automatique,rouge,5.0,6 CV,(DIN) 116 ch,AUDI,Q2
AUDI RS3 III BERLINE phase 2,67080,2020,27/02/2020,60 575 km,Essence,Automatique,gris,4.0,29 CV,(DIN) 400 ch,AUDI,RS3 III BERLINE phase 2
TESLA MODEL 3 phase 2,47570,2022,01/06/2022,35 581 km,Electrique,Automatique,Blanc,5.0,7 CV,(DIN) 136 ch,TESLA,MODEL 3 phase 2
MERCEDES CITAN TOURER,40560,2022,29/11/2022,19 557 km,Diesel,Manuelle,jaune,5.0,6 CV,(DIN) 110 ch - (moteur) 85 kW,MERCEDES,CITAN TOURER
RENAULT CAPTUR II,24620,2021,11/03/2021,37 144 km,Essence,Automatique,blanc,5.0,8 CV,(DIN) 154 ch,RENAULT,CAPTUR II
PEUGEOT 3008 II phase 2,45220,2023,28/03/2023,12 km,Essence,Automatique,platine,5.0,7 CV,(DIN) 130 ch,PEUGEOT,3008 II phase 2
RENAULT KANGOO II EXPRESS phase 2,18880,2018,06/08/2018,70 847 km,Diesel,Manuelle,blanc,4.0,5 CV,(DIN) 90 ch,RENAULT,KANGOO II EXPRESS phase 2
PEUGEOT 3008 (2E GENERATION),45240,2022,01/07/2022,12 km,Diesel,Automatique,noir,5.0,7 CV,(DIN) 130 ch,PEUGEOT,3008 (2E GENERATION)
AUDI A3 III SPORTBACK phase 2,33680,2020,30/11/2020,54 282 km,Essence,Automatique,Gris,5.0,11 CV,(DIN) 190 ch,AUDI,A3 III SPORTBACK phase 2
CITROEN C3 III phase 2,16080,2021,18/11/2021,37 740 km,Essence,Manuelle,BLANC,5.0,4 CV,(DIN) 83 ch,CITROEN,C3 III phase 2
CITROEN GRAND C4 SPACETOURER,21490,2021,27/04/2021,83 646 km,Essence,Automatique,gris,5.0,7 CV,(DIN) 131 ch,CITROEN,GRAND C4 SPACETOURER
KIA E-NIRO phase 2,33560,2021,25/01/2022,43 060 km,Electrique,Automatique,gris foncé,5.0,1 CV,(DIN) 204 ch,KIA,E-NIRO phase 2
DS 3 CROSSBACK,34610,2021,01/05/2021,22 176 km,Essence,Automatique,bleu,5.0,6 CV,(DIN) 131 ch,DS,3 CROSSBACK
VOLKSWAGEN GOLF VIII,31550,2022,28/11/2022,23 434 km,Hybride essence électrique,Automatique,blanc,5.0,8 CV,(DIN) 245 ch,VOLKSWAGEN,GOLF VIII
MINI III 5P phase 2,37270,2023,14/06/2023,17 886 km,Essence,Automatique,gris clair metal,5.0,9 CV,(DIN) 178 ch - (moteur) 131 kW,MINI,III 5P phase 2
PEUGEOT 508 II SW,35370,2021,20/11/2021,47 408 km,Diesel,Automatique,gris,5.0,9 CV,(DIN) 177 ch,PEUGEOT,508 II SW
AUDI Q3 II,33580,2020,21/03/2020,52 541 km,Diesel,Automatique,Rouge,5.0,8 CV,(DIN) 150 ch,AUDI,Q3 II
PEUGEOT 2008 II,21580,2020,09/12/2020,71 704 km,Essence,Manuelle,gris foncé,5.0,6 CV,(DIN) 131 ch,PEUGEOT,2008 II
AUDI Q5 II SPORTBACK phase 2,79680,2023,19/01/2024,57 km,Diesel,Automatique,noir metal,5.0,11 CV,(DIN) 204 ch - (moteur) 150 kW,AUDI,Q5 II SPORTBACK phase 2
PEUGEOT 2008 II,25240,2023,08/08/2023,11 216 km,Essence,Manuelle,orange,5.0,5 CV,(DIN) 101 ch,PEUGEOT,2008 II
SEAT ARONA,27890,2023,02/10/2023,10 274 km,Essence,Automatique,gris,5.0,6 CV,(DIN) 110 ch,SEAT,ARONA
AUDI A3 III SPORTBACK phase 2,21180,2018,12/04/2018,86 361 km,Diesel,Automatique,noir,5.0,8 CV,(DIN) 150 ch,AUDI,A3 III SPORTBACK phase 2
NISSAN JUKE phase 2,17900,2019,22/02/2019,72 688 km,Essence,Automatique,noir,,6 CV,(DIN) 117 ch,NISSAN,JUKE phase 2
VOLVO XC60 II phase 2,64840,2023,10/07/2023,30 702 km,Diesel,Automatique,noir metal,5.0,11 CV,(DIN) 197 ch - (moteur) 145 kW,VOLVO,XC60 II phase 2
MERCEDES GLA II,57080,2021,27/05/2021,26 905 km,Hybride essence électrique,Automatique,gris clair metal,5.0,8 CV,(DIN) 161 ch - (moteur) 118 kW,MERCEDES,GLA II
VOLVO XC60 phase 2,31200,2016,25/10/2016,111 128 km,Diesel,Automatique,gris metal,5.0,11 CV,(DIN) 190 ch - (moteur) 140 kW,VOLVO,XC60 phase 2
RENAULT CAPTUR II,23600,2021,15/09/2021,27 792 km,Essence,Automatique,gris cassiopée / toit noir,5.0,7 CV,(DIN) 131 ch,RENAULT,CAPTUR II
RENAULT CAPTUR phase 2,14510,2019,29/09/2019,103 216 km,Diesel,Manuelle,platine,5.0,4 CV,(DIN) 90 ch,RENAULT,CAPTUR phase 2
AUDI E-TRON,73320,2022,05/07/2022,16 428 km,Electrique,Automatique,blanc metal,5.0,9 CV,(DIN) 408 ch - (moteur) 300 kW,AUDI,E-TRON
PEUGEOT 208 (2E GENERATION),28630,2024,27/09/2024,612 km,Essence,Automatique,jaune,5.0,5 CV,(DIN) 100 ch,PEUGEOT,208 (2E GENERATION)
RENAULT GRAND SCENIC IV,22010,2021,22/12/2021,132 130 km,Essence,Automatique,blanc,5.0,7 CV,(DIN) 140 ch,RENAULT,GRAND SCENIC IV
RENAULT MEGANE IV ESTATE,14190,2019,06/07/2019,93 033 km,Diesel,Manuelle,gris titanium,5.0,5 CV,(DIN) 110 ch,RENAULT,MEGANE IV ESTATE
VOLVO XC90 II,90620,2020,06/08/2020,41 866 km,Hybride essence électrique,Automatique,blanc metal,5.0,17 CV,(DIN) 303 ch - (moteur) 287 kW,VOLVO,XC90 II
NISSAN MICRA V,16320,2020,05/04/2020,39 503 km,Essence,Manuelle,BLANC,5.0,5 CV,(DIN) 101 ch,NISSAN,MICRA V
NISSAN JUKE II,29970,2023,26/08/2023,12 040 km,Hybride essence électrique,Automatique,blanc,5.0,5 CV,(DIN) 150 ch,NISSAN,JUKE II
AUDI Q5 II phase 2,61480,2022,25/11/2022,86 039 km,Diesel,Automatique,noir,5.0,11 CV,(DIN) 204 ch,AUDI,Q5 II phase 2
CITROEN C1 II,8940,2015,06/10/2015,52 182 km,Essence,Manuelle,gris metal,5.0,4 CV,(DIN) 69 ch - (moteur) 51 kW,CITROEN,C1 II
RENAULT TRAFIC III phase 2,43800,2024,10/08/2024,1 km,Diesel,Manuelle,blanc,4.0,7 CV,(DIN) 150 ch,RENAULT,TRAFIC III phase 2
PEUGEOT 2008 II,28300,2022,10/06/2022,62 269 km,Diesel,Automatique,GRIS ARTENSE,,7 CV,(DIN) 131 ch,PEUGEOT,2008 II
JEEP WRANGLER,24180,1991,24/04/1991,181 500 km,Essence,Manuelle,blanc,2.0,24 CV,(DIN) 182 ch,JEEP,WRANGLER
AUDI A5 II,39020,2018,17/10/2018,50 313 km,Diesel,Automatique,gris,2.0,10 CV,(DIN) 190 ch,AUDI,A5 II
MINI MINI III 5P,19930,2020,28/05/2020,53 390 km,Essence,Manuelle,BLANC,5.0,5 CV,(DIN) 102 ch,MINI,MINI III 5P
PEUGEOT 308 II phase 2,20040,2022,02/02/2022,104 901 km,Diesel,Automatique,gris,5.0,7 CV,(DIN) 131 ch,PEUGEOT,308 II phase 2
RENAULT CAPTUR II,25980,2022,02/06/2022,50 301 km,Diesel,Manuelle,blanc nacré brillant / toit noir étoilé,5.0,6 CV,(DIN) 116 ch,RENAULT,CAPTUR II
PEUGEOT 308 II phase 2,20040,2022,02/02/2022,104 901 km,Diesel,Automatique,gris,5.0,7 CV,(DIN) 131 ch,PEUGEOT,308 II phase 2
RENAULT CLIO V,16480,2022,10/07/2022,39 672 km,Essence,Manuelle,platine,5.0,5 CV,(DIN) 91 ch,RENAULT,CLIO V
OPEL GRANDLAND X,31350,2022,07/04/2022,52 200 km,Diesel,Manuelle,gris anthracite metal,5.0,7 CV,(DIN) 131 ch - (moteur) 96 kW,OPEL,GRANDLAND X
AUDI Q3 II,43280,2020,07/04/2020,52 406 km,Essence,Automatique,blanc metal,5.0,8 CV,(DIN) 150 ch - (moteur) 110 kW,AUDI,Q3 II
PEUGEOT EXPERT III FOURGON,18200,2019,08/01/2020,98 915 km,Diesel,Manuelle,blanc,4.0,5 CV,(DIN) 95 ch,PEUGEOT,EXPERT III FOURGON
RENAULT MEGANE IV ESTATE,17830,2017,10/12/2017,89 250 km,Essence,Automatique,gris clair,5.0,7 CV,(DIN) 132 ch,RENAULT,MEGANE IV ESTATE
CITROEN C3 AIRCROSS,18110,2020,24/03/2020,79 974 km,Essence,Manuelle,THEME BLEU,5.0,5 CV,(DIN) 110 ch,CITROEN,C3 AIRCROSS
